"NEW_BP"|"DEPARTAMENTO"|"MUNICIPIO"|"CIUDAD"|"BARRIO_CASERIO"
"1581460229"|"YORO"|"EL PROGRESO"|"EL PROGRESO"|"COL.BRISAS DE ALTAMIRA O RODAS ALVA"
"1581460303"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA BRISAS DEL NORTE"
"1572307660"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA ALTOS DE MIRAMONTES"
"1580764738"|"COLON"|"SONAGUERA"|"SONAGUERA"|"BARRIO LAS FLORES"
"1580764691"|"CORTES"|"PUERTO CORTES"|"PUERTO CORTES"|"BARRIO CAMPO ROJO"
"1572508193"|"COLON"|"TOCOA"|"SALAM"|"BARRIO EL CENTRO"
"1572308191"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA VILLA NUEVA NORTE"
"1572308216"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA LAS BRISAS"
"1579178431"|"CORTES"|"VILLANUEVA"|"CAMPO DOS CAMINOS"|"REAL DEL PUENTE"
"1572576566"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA EL TORONJAL"
"1572046790"|"ISLAS DE LA BAHIA"|"UTILA"|"UTILA"|"JACK NIL BAY"
"1578363693"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"COLONIA LA MERCED"
"1572194899"|"COLON"|"TOCOA"|"TOCOA"|"BARRIO LOS LAURELES"
"1581175877"|"OLANCHO"|"JUTICALPA"|"JUTICALPA"|"BARRIO CALONA"
"1581456173"|"EL PARAISO"|"DANLI"|"DANLI"|"BARRIO BUENOS AIRES"
"1581457056"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA SUYAPA ANACH"
"1571911649"|"CORTES"|"SAN ANTONIO DE CORTES"|"SAN ANTONIO DE CORTES"|"BARRIO GENERAL BARAHONA"
"1572885496"|"CORTES"|"SANTA CRUZ DE YOJOA"|"SANTA CRUZ DE YOJOA"|"BARRIO LOS PINOS"
"1572527453"|"COPAN"|"SANTA ROSA DE COPAN"|"SANTA ROSA DE COPAN"|"BARRIO LAS MERCEDES"
"1572885465"|"YORO"|"YORO"|"YORO"|"BARRIO CABANAS"
"1580947022"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"EL TIZATILLO"|"RESIDENCIAL MARIA AUXILIADORA"
"1571911217"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"BARRIO LOURDES"
"1580947299"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"BARRIO GUADALUPE"
"1578365960"|"SANTA BARBARA"|"SANTA BARBARA"|"SANTA BARBARA"|"BARRIO EL FAROLITO"
"1572306834"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA SATELITE"
"1572197448"|"COMAYAGUA"|"SIGUATEPEQUE"|"SIGUATEPEQUE"|"BARRIO EL CENTRO"
"1571910604"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA SATELITE I ETAPA"
"1572306914"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA BENDECK"
"1572527462"|"COPAN"|"SANTA ROSA DE COPAN"|"SANTA ROSA DE COPAN"|"BARRIO EL CALVARIO"
"1578611034"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"BARRIO BARANDILLAS"
"1572741986"|"SANTA BARBARA"|"SAN LUIS"|"SAN LUIS"|"BARRIO MORAZAN"
"1578365896"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA SAN FRANCISCO"
"1572307077"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA ALTOS DE COFRADIA"
"1578613182"|"ATLANTIDA"|"LA CEIBA"|"LA CEIBA"|"BARRIO MEJIA"
"1572196475"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"BARRIO LOS LIRIOS"
"1572045573"|"ISLAS DE LA BAHIA"|"JOSE SANTOS GUARDIOLA"|"JOSE SANTOS GUARDIOLA"|"BARRIO OAK RIDGE  PARTE NO. 1"
"1572193871"|"COLON"|"TOCOA"|"CAYO SIERRA"|"ALDEA CAYO SIERRA"
"1571904504"|"CORTES"|"SAN PEDRO SULA"|"SAN PEDRO SULA"|"COLONIA SAN CARLOS DE SULA"
"1572193713"|"COMAYAGUA"|"COMAYAGUA"|"PALO PINTADO"|"EL PORVENIR"
"1572310075"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"TEGUCIGALPA"|" LOS  LLANOS  DESPUES  DEL  PUENTE PRIMER"
"1572193705"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"BARRIO ABAJO"
"1572193702"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"BARRIO SAN SEBASTIAN"
"1572193659"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA ALAMEDA"
"1572310211"|"COMAYAGUA"|"COMAYAGUA"|"COMAYAGUA"|"COLONIA PIEDRAS BONITAS"
"1571903944"|"COPAN"|"SAN NICOLAS"|"SAN NICOLAS"|"BARRIO SAN SEBASTIAN"
"1571903677"|"COPAN"|"NUEVA ARCADIA"|"LA ENTRADA"|"BARRIO EL CENTRO"
"1572310506"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"COLONIA MONSENOR FILALLOS"|"COLONIA MONSENOR FILALLOS"
"1572193315"|"COLON"|"TOCOA"|"TOCOA"|"COLONIA  FABIO EMILIO OCHOA"
"1572310819"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"BARRIO LAS DELICIAS"
"1572048137"|"ISLAS DE LA BAHIA"|"ROATAN"|"SANDY BAY"|"COLONIA POLICARPO GALINDO"
"1572883898"|"FRANCISCO MORAZAN"|"DISTRITO CENTRAL"|"DISTRITO CENTRAL"|"COLONIA CENTRO AMERICA OESTE"
