"NEW_BP"|"MONTO_LPS"|"FECHA_TRANSACCION"|"CANAL"
"1571559242"|24720.00|2024-06-20|"CREDITO CUENTA"
"1571559242"|12347.10|2024-05-08|"CREDITO CUENTA"
"1571559242"|24694.50|2024-05-19|"CREDITO CUENTA"
"1571559242"|24688.70|2024-05-03|"CREDITO CUENTA"
"1571559242"|24688.70|2024-05-03|"CREDITO CUENTA"
"1571559242"|24694.20|2024-05-08|"CREDITO CUENTA"
"1571559242"|24703.40|2024-06-17|"CREDITO CUENTA"
"1571559242"|24743.60|2024-06-28|"CREDITO CUENTA"
"1571559242"|24694.90|2024-05-17|"CREDITO CUENTA"
"1572182213"|3828.00|2024-05-11|"CREDITO CUENTA"
"1572182213"|5018.65|2024-06-21|"CREDITO CUENTA"
"1572182213"|2469.06|2024-05-04|"CREDITO CUENTA"
"1572182213"|1111.36|2024-05-12|"CREDITO CUENTA"
"1572182213"|2246.67|2024-05-03|"CREDITO CUENTA"
"1572182213"|2468.99|2024-06-08|"CREDITO CUENTA"
"1572182213"|1978.40|2024-06-22|"CREDITO CUENTA"
"1572182213"|2469.00|2024-05-28|"CREDITO CUENTA"
"1572182213"|2469.00|2024-05-18|"CREDITO CUENTA"
"1572182213"|2469.00|2024-06-09|"CREDITO CUENTA"
"1572182213"|4939.00|2024-06-11|"CREDITO CUENTA"
"1581122707"|9188.26|2024-06-29|"CREDITO CUENTA"
"1581122707"|5800.00|2024-06-10|"CREDITO CUENTA"
"1581122707"|10673.33|2024-06-05|"CREDITO CUENTA"
"1581122707"|8013.06|2024-05-04|"CREDITO CUENTA"
"1581122707"|2518.04|2024-06-01|"CREDITO CUENTA"
"1572278138"|14097.99|2024-06-05|"CREDITO CUENTA"
"1572278138"|3940.00|2024-05-16|"CREDITO CUENTA"
"1572278138"|14097.99|2024-05-06|"CREDITO CUENTA"
"1572278138"|7000.00|2024-05-14|"CREDITO CUENTA"
"1578365722"|3633.84|2024-05-11|"CREDITO CUENTA"
"1572358868"|11519.70|2024-05-03|"CREDITO CUENTA"
"1572358868"|7625.24|2024-05-06|"CREDITO CUENTA"
"1572358868"|3143.55|2024-05-22|"CREDITO CUENTA"
"1572358868"|3232.42|2024-06-15|"CREDITO CUENTA"
"1572358868"|1728.30|2024-05-06|"CREDITO CUENTA"
"1579334294"|5599.93|2024-05-13|"CREDITO CUENTA"
"1572831904"|2275.25|2024-06-25|"CREDITO CUENTA"
"1572831904"|3703.49|2024-06-10|"CREDITO CUENTA"
"1572831904"|2645.18|2024-06-09|"CREDITO CUENTA"
"1572831904"|2634.29|2024-06-11|"CREDITO CUENTA"
"1572831904"|1236.00|2024-06-15|"CREDITO CUENTA"
"1572831904"|1483.00|2024-06-19|"CREDITO CUENTA"
"1571745048"|6173.73|2024-05-17|"CREDITO CUENTA"
"1579309955"|247.00|2024-06-16|"CREDITO CUENTA"
"1577723441"|6175.13|2024-06-14|"CREDITO CUENTA"
"1579352748"|4024.47|2024-06-06|"CREDITO CUENTA"
"1571839238"|8024.22|2024-06-10|"CREDITO CUENTA"
"1578359928"|8888.40|2024-06-05|"CREDITO CUENTA"
"1578359928"|1012.70|2024-05-11|"CREDITO CUENTA"
"1578359928"|2470.00|2024-05-16|"CREDITO CUENTA"
"1578359928"|2470.00|2024-05-12|"CREDITO CUENTA"
"1572279887"|12838.80|2024-06-12|"CREDITO CUENTA"
"1572932724"|8100.00|2024-05-22|"CREDITO CUENTA"
"1572932724"|8642.00|2024-06-08|"CREDITO CUENTA"
"1572278527"|8964.25|2024-05-17|"CREDITO CUENTA"
"1572278527"|17321.15|2024-06-29|"CREDITO CUENTA"
"1572278527"|16052.27|2024-05-16|"CREDITO CUENTA"
"1572278527"|25000.00|2024-06-20|"CREDITO CUENTA"
"1582411280"|800.17|2024-06-10|"CREDITO CUENTA"
"1582411280"|1000.19|2024-06-04|"CREDITO CUENTA"
"1578607113"|3506.30|2024-05-26|"CREDITO CUENTA"
"1578607113"|12835.78|2024-05-02|"CREDITO CUENTA"
"1578607113"|16051.43|2024-05-18|"CREDITO CUENTA"
"1578607113"|17775.29|2024-05-30|"CREDITO CUENTA"
"1578607113"|13336.06|2024-06-13|"CREDITO CUENTA"
"1578607113"|988.02|2024-06-14|"CREDITO CUENTA"
"1578607113"|6185.90|2024-06-28|"CREDITO CUENTA"
"1578607113"|2469.12|2024-05-24|"CREDITO CUENTA"
"1572280545"|4938.00|2024-06-09|"CREDITO CUENTA"
"1572719143"|2720.41|2024-06-25|"CREDITO CUENTA"
"1572719143"|5690.04|2024-06-27|"CREDITO CUENTA"
"1572719143"|14847.00|2024-06-29|"CREDITO CUENTA"
"1572719143"|1358.32|2024-05-14|"CREDITO CUENTA"
"1572719143"|4197.50|2024-05-24|"CREDITO CUENTA"
"1572719143"|1236.33|2024-06-22|"CREDITO CUENTA"
"1572719143"|5433.30|2024-05-12|"CREDITO CUENTA"
"1572719143"|5432.70|2024-05-21|"CREDITO CUENTA"
"1572719143"|3802.26|2024-05-07|"CREDITO CUENTA"
"1572719143"|1234.50|2024-06-01|"CREDITO CUENTA"
"1572719143"|1604.85|2024-05-26|"CREDITO CUENTA"
"1572719143"|16962.03|2024-05-20|"CREDITO CUENTA"
"1572719143"|2470.00|2024-05-11|"CREDITO CUENTA"
"1572719143"|7407.00|2024-05-04|"CREDITO CUENTA"
"1572719143"|25183.80|2024-05-27|"CREDITO CUENTA"
"1572719143"|4204.10|2024-06-22|"CREDITO CUENTA"
"1572719143"|2222.10|2024-05-17|"CREDITO CUENTA"
"1572719143"|1827.06|2024-06-11|"CREDITO CUENTA"
"1572719143"|22228.00|2024-05-13|"CREDITO CUENTA"
"1572719143"|61736.25|2024-05-20|"CREDITO CUENTA"
"1572227222"|4937.98|2024-06-09|"CREDITO CUENTA"
"1580956266"|4419.51|2024-05-06|"CREDITO CUENTA"
"1580956266"|10025.97|2024-05-19|"CREDITO CUENTA"
"1581022759"|1500.00|2024-05-03|"CREDITO CUENTA"
"1581022759"|3705.00|2024-05-22|"CREDITO CUENTA"
"1581022294"|12347.25|2024-05-19|"CREDITO CUENTA"
"1581022294"|12357.85|2024-06-20|"CREDITO CUENTA"
"1581022294"|11110.50|2024-06-10|"CREDITO CUENTA"
"1572328260"|12002.00|2024-05-07|"CREDITO CUENTA"
"1580875978"|2468.74|2024-06-06|"CREDITO CUENTA"
"1580875978"|2472.66|2024-06-22|"CREDITO CUENTA"
"1580875978"|5678.68|2024-06-08|"CREDITO CUENTA"
"1580875978"|14565.15|2024-06-02|"CREDITO CUENTA"
"1572184366"|2470.00|2024-05-09|"CREDITO CUENTA"
"1572912915"|4004.44|2024-05-05|"CREDITO CUENTA"
"1581025429"|4938.00|2024-05-04|"CREDITO CUENTA"
"1581025429"|2470.00|2024-05-23|"CREDITO CUENTA"
"1579827620"|7023.32|2024-06-22|"CREDITO CUENTA"
"1579827620"|4740.00|2024-06-02|"CREDITO CUENTA"
"1580815134"|4940.00|2024-05-11|"CREDITO CUENTA"
"1580815134"|7407.00|2024-05-25|"CREDITO CUENTA"
"1580815134"|7410.00|2024-06-14|"CREDITO CUENTA"
"1581014963"|4840.00|2024-06-09|"CREDITO CUENTA"
"1581016096"|5000.00|2024-05-08|"CREDITO CUENTA"
"1580985427"|7184.76|2024-06-08|"CREDITO CUENTA"
"1580985427"|8024.25|2024-05-03|"CREDITO CUENTA"
"1572477799"|8652.00|2024-06-25|"CREDITO CUENTA"
"1571788562"|1604.88|2024-05-27|"CREDITO CUENTA"
